image,score
drnoble2392407132.jpg,3.94
gchorus2344414408.jpg,3.71
apo_hearn4202259849.jpg,3.44
riseliao5493580653.jpg,3.14
korafotomorgana4036022917.jpg,3.36
palpicsprints25965867651.jpg,3.58
134488139@N0726691972393.jpg,2.52
apo_hearn4203002504.jpg,3.65
sandman52471708247.jpg,3.2
21386860@N032076880492.jpg,2.71
michytz3216354796.jpg,3.73
richardmorais6236422598.jpg,3.83
scottsharick5571798500.jpg,3.96
111683772@N0226296975916.jpg,3.12
45087092@N00224262529.jpg,2.74
philippe_arpels4601688250.jpg,3.53
sethgaines403469294.jpg,2.62
msrobotica27066710750.jpg,3.75
dresdesign32708104514.jpg,3.66
neonce133716081.jpg,3.85
jonron2392942995906.jpg,2.69
apertur39044765.jpg,3.21
sonoradick28375495623.jpg,3.22
photomajik2190234091.jpg,2.76
xasdrd4121809848.jpg,3.57
msrobotica27271398191.jpg,3.64
bridgink27434570821.jpg,2.76
bolckow3316645565.jpg,3.13
caveman_922234015767982.jpg,3.06
80651083@N0095507739.jpg,3.4
rianetna3103673900.jpg,2.87
tomitheos1094958401.jpg,2.79
46528915@N045672138777.jpg,2.55
plousia348221234.jpg,3.25
bridgink298309207.jpg,3.31
aatc206734506915.jpg,2.97
mattp96994557849.jpg,3.83
skoobie993504253821.jpg,2.96
bridgink28786042180.jpg,2.42
duaneschermerhorn29753080333.jpg,3.04
34065571@N053475963569.jpg,3.41
55681839@N0723789083569.jpg,3.73
80651083@N003234221197.jpg,3.75
ola_er26768700305.jpg,3.4
cdb194126701822875.jpg,3.66
gawnuu5841322549.jpg,4.46
hipgnosis23816532704.jpg,4.07
mlomax137604998250.jpg,3.95
132132449@N0543080296622.jpg,2.98
marie-elises10959149543.jpg,3.0
judyhorton22469288638.jpg,3.87
127850938@N0537359286116.jpg,3.27
145859193@N0531098692064.jpg,4.69
gryffngurl7633286110.jpg,3.89
dr_beaner1394707920.jpg,3.45
malamute0125567707880.jpg,3.95
ton706243148126.jpg,3.75
j_saf40537783725.jpg,3.77
bridgink27407489442.jpg,3.65
125063830@N0639966906400.jpg,4.57
bridgink26362799487.jpg,3.23
124061595@N0324662755435.jpg,4.25
4seasonbackpacking22421706310.jpg,3.44
lakota413754100597.jpg,2.86
colinmayes19257860488.jpg,3.83
bridgink24424831915.jpg,3.22
arawatclicks5685300971.jpg,4.02
ulliottj8012544712.jpg,3.21
141280509@N0226297609525.jpg,4.02
r_topor40307120823.jpg,3.52
96184355@N0716080540114.jpg,4.11
palpicsprints29063248761.jpg,4.12
kelvintrundle42243046320.jpg,4.28
142758656@N0637949664866.jpg,3.52
gyciaras15286813756.jpg,4.25
amagee341369610644.jpg,4.5
scottholcomb30561137583.jpg,3.46
156850858@N0338829302700.jpg,4.12
msrobotica27244228182.jpg,4.08
gspiccies28712616297.jpg,3.77
xenas_images40628935834.jpg,3.01
david_sk624754105310.jpg,4.1
alan-d-photos46006671064.jpg,3.79
paulsimpsonphotography44383290852.jpg,4.12
mako_side_b3895200214.jpg,3.94
bridgink27292792964.jpg,3.61
hargasfunk24075693289.jpg,3.79
agnes19815471612.jpg,3.83
sunraa5899023841.jpg,3.85
pelirail33974306754.jpg,3.19
