image,score
apryl_wiese2340444374.jpg,3.02
44506883@N046113109951.jpg,2.9
150703001@N0745474337972.jpg,2.55
46892099@N064302050106.jpg,2.09
wee3beasties6249157569.jpg,2.33
chiotsrun4062160395.jpg,2.57
axis324630919.jpg,2.12
164827032@N0244909622241.jpg,1.9
jeffjeffjeffjeff37934631371.jpg,2.66
korchukovphoto46680887394.jpg,2.92
155975474@N0537022954074.jpg,2.04
peacekeeper275588789.jpg,2.23
dory2007851976011.jpg,2.88
71849667@N00262862876.jpg,2.75
kubikumi3692392194.jpg,2.65
massabanana2141750221.jpg,1.73
73581593@N00114177894.jpg,2.0
86953562@N001464469487.jpg,3.39
becca3k5456660722.jpg,2.12
andici1355661424.jpg,2.97
sar26985504297988.jpg,2.87
jilbean33278870281.jpg,2.71
photo_by_gy42592692640.jpg,2.87
memory_collector2257636102.jpg,2.17
jennw5145012689.jpg,2.67
dragonfly10461417346942.jpg,2.59
33831378@N034012061198.jpg,2.96
113331709@N0836992304700.jpg,2.15
oneras44637000775.jpg,2.43
umitomo289501409.jpg,3.5
mateorito3694844318.jpg,2.35
luckyno34254561.jpg,2.83
145271705@N0634109892023.jpg,3.31
stosh_2629958581258.jpg,3.11
159604553@N0227178045018.jpg,2.19
53074154@N002273767916.jpg,2.26
140008299@N0532916630705.jpg,2.02
135839019@N0236329760892.jpg,2.76
infp6940453831564.jpg,2.87
gussanches6365244141.jpg,1.94
ronp4849349576.jpg,3.27
nathaninsandiego43881805115.jpg,2.78
154707120@N0741903330154.jpg,3.04
tingywende4596458479.jpg,3.71
22197446@N032331019420.jpg,2.16
question_everything3158130093.jpg,2.74
botheredbybees1427807704.jpg,2.26
tudor42558935880.jpg,3.5
zorec_photos7797239098.jpg,2.67
cadavreambulant3046352836.jpg,2.26
29580368@N0343027881012.jpg,2.05
153810566@N0641829153352.jpg,2.58
153653558@N0239521244030.jpg,2.31
159574424@N0538866796270.jpg,2.84
scottod1169887601.jpg,1.99
julialeesun42108734725.jpg,2.99
148848482@N0435200942666.jpg,2.81
glassholic33269362385.jpg,2.68
158101873@N0425272783068.jpg,2.58
fubuki1182430.jpg,3.15
joyinireland5092719997.jpg,3.25
155970809@N0835965461283.jpg,2.93
113331709@N0836992301970.jpg,2.82
dans18061596964.jpg,3.84
73215818@N002511775479.jpg,1.88
47332234@N074466084817.jpg,2.85
deusexlux2556420159.jpg,2.88
macgaston27865886.jpg,2.42
discoweasel329675398.jpg,2.35
chtiterikku3190634603.jpg,2.21
142519646@N0443227412320.jpg,2.6
142770347@N0244958587534.jpg,2.26
thwphoto4114418323.jpg,2.49
dud3itsk4r3n3473039205.jpg,2.62
onllyu313020544.jpg,1.78
sea-turtle42046687700.jpg,2.61
133075557@N0441747981641.jpg,4.39
153061689@N0238730717440.jpg,3.13
buzzkath38689900400.jpg,2.77
54644286@N0243919529804.jpg,3.46
126155829@N0639514472864.jpg,3.62
35070798@N0838953535420.jpg,2.62
145400871@N0529558675323.jpg,2.84
jchowaniec35147745116.jpg,3.93
155946292@N0642142264600.jpg,4.88
57969193@N076108780912.jpg,3.89
cibelefraga6372880497.jpg,2.25
105315767@N0632231894064.jpg,3.4
airaphoto37948505141.jpg,2.55
stevedexteruk33937036098.jpg,3.47
sirinisunshine5188083756.jpg,3.67
157810959@N0336501272596.jpg,2.81
gkoiter41039359342.jpg,3.13
7565780@N083299233800.jpg,2.81
borgenordbo39889926963.jpg,3.56
jennifermaniquet35870905282.jpg,3.15
gillstafford47188112981.jpg,3.17
148393820@N0543056071275.jpg,4.18
160949630@N0443101705130.jpg,2.73
163265475@N0346702587865.jpg,3.77
16054928@N0715003325477.jpg,3.87
139144954@N0224565966898.jpg,3.92
vera_paris3762991030.jpg,3.85
96199672@N0541674896122.jpg,2.51
45689992@N003279299744.jpg,3.4
151486633@N0232474956570.jpg,3.42
b_inxee42770000625.jpg,4.44
wadetregaskis26347706724.jpg,3.42
37615986@N0427504425867.jpg,3.58
9631696@N0539293029294.jpg,2.74
halsea4346594432.jpg,3.94
147187560@N0340904224143.jpg,3.13
153620405@N0838394316381.jpg,4.12
163940733@N0247542745131.jpg,3.96
jseverson26978881527.jpg,3.3
thankyouiloveit37516951374.jpg,4.31
142206519@N0241443553105.jpg,3.45
144559105@N0533842925813.jpg,3.17
t_funk5504806500.jpg,4.3
willyvlnka32754048534.jpg,3.75
caninest4395380130.jpg,3.41
michaelpaul46899479361.jpg,2.93
elliehoward37204155960.jpg,3.12
