image,score
eridony5327748559.jpg,2.42
olenaivanina5901482657.jpg,4.14
chelooo3036712909.jpg,2.83
eridony5138664258.jpg,2.49
sydjohnson24646106242.jpg,3.21
barbstur2294880160.jpg,3.17
jerry_curtis3646110801.jpg,2.34
mycrochetcellar4521768605.jpg,3.44
redcili3021550099.jpg,4.0
eridony3224244334.jpg,2.85
10208807@N042365029778.jpg,2.68
brunomunro4079247860.jpg,2.79
alankin2214395420.jpg,2.81
159720176@N0530368501897.jpg,2.87
blackdoll3733466499.jpg,2.42
lunapark520565150.jpg,2.62
27977560@N043086969554.jpg,2.47
10208807@N042365029782.jpg,2.41
26605171@N062622372049.jpg,2.6
52893911@N065755363811.jpg,2.28
yyellowbird4177304730.jpg,2.85
radarsmum674144941502.jpg,2.34
eridony4880995144.jpg,2.66
kansasscanner27763201560.jpg,3.01
10208807@N041362123258.jpg,2.17
33956296@N045689051289.jpg,2.38
sunny_side_up439203873.jpg,3.31
simon_2365893365.jpg,2.96
cuboz46165358254.jpg,2.52
msjudilonelywolf2598148401.jpg,2.71
jgauthierandsons2096550250.jpg,3.14
janleversund2407429469.jpg,2.88
giveaphuk1240213130.jpg,3.51
nessachan1547793849.jpg,2.58
hel624890284416.jpg,2.65
literary-collective6006301711.jpg,2.69
whittmike6164185495.jpg,3.33
kriostoir192882119.jpg,1.96
bobex_pics4828463699.jpg,2.64
dpoccia122071222.jpg,3.21
nessachan2573779101.jpg,1.82
eridony4735394013.jpg,2.55
28686077@N062774739723.jpg,2.55
dick_pountain2417110444.jpg,2.91
dippy_duck557778315.jpg,2.44
lenalgouveia3220994498.jpg,3.25
msvg5237259603.jpg,2.9
arneklett1408010507.jpg,2.56
13016380@N072365081794.jpg,2.74
rschoonebeek4544693892.jpg,2.56
jensavage6048043788.jpg,2.58
dahlstroms3625479765.jpg,2.33
35436622@N066132837934.jpg,2.37
totallyrobot77712893.jpg,2.04
nessachan2574623600.jpg,2.33
httpwww3d02com3d_models_digital_laboratory_24843aspx5806855002.jpg,3.12
wakiiii4992898987.jpg,2.46
8184136@N053525552147.jpg,2.42
wormdog25700983905.jpg,3.33
barbstur2627438567.jpg,2.65
