image,score
just_pulling_your_chain447023157.jpg,2.52
tagallo4376938772.jpg,2.49
jarmovalmari7146218059.jpg,2.12
imor766215171786.jpg,2.0
hisgett21594589228.jpg,2.54
pgpeggie1392027810.jpg,1.99
al-q6ry4134538878.jpg,1.9
jaycaps4555989441.jpg,2.56
myruano6809581839.jpg,2.33
48135492@N087156719387.jpg,3.29
mishra_rc14840342022.jpg,2.72
abhi_roy4173191181.jpg,2.21
coreyjbeitlerphotography6860209129.jpg,2.47
fsse-info3596857123.jpg,1.54
nsanyi133431321044.jpg,1.8
147380652@N0432610274141.jpg,1.97
142637831@N0726941985731.jpg,3.34
hgaz9114005675.jpg,2.84
legin1017911657082.jpg,2.82
akiko_photo14964781686.jpg,2.78
rlingayat164989026.jpg,2.25
talundes5453782180.jpg,2.58
shyb67138490.jpg,1.98
fstopfugitive2785012261.jpg,2.85
maribell25821964113714.jpg,2.65
linearclassifier14985681050.jpg,2.17
emilywongphotography5597167936.jpg,2.13
emmaajayne5111067137.jpg,1.99
drowz5557030697.jpg,3.08
livanich3922729976.jpg,2.62
peepet14489717838.jpg,3.15
28873169@N049088921551.jpg,2.43
nuclearjawa15247326815.jpg,2.31
naif-muhammed8213424757.jpg,2.87
3dphoto3599298083.jpg,3.21
oldzzy4731895675.jpg,3.03
128526621@N0615749172171.jpg,2.29
corkysandpiper8591757202.jpg,1.93
dirkjacobs13667495144.jpg,2.71
benoit_seignovert21947404316.jpg,3.9
42474571@N074124971932.jpg,1.69
chriswintle4250950823.jpg,2.77
131841549@N0417500982206.jpg,2.12
mac_theknife8516948609.jpg,2.27
mugley2199548476.jpg,3.33
portt3763537883.jpg,1.75
58898187@N003103892169.jpg,2.28
ueharashogo5517499456.jpg,2.44
swetzel479484505.jpg,2.36
crispin_cresswell3893858716.jpg,2.99
fairydanna3823032371.jpg,3.49
jerbec4562233588.jpg,2.55
sonypic16336605292.jpg,1.83
matthewrmellor17378992111.jpg,2.23
theinternetlegend16851575569.jpg,2.09
justageek2195415708.jpg,2.79
caitlin-ashley3499910170.jpg,2.45
