image,score
54292784@N0541953926552.jpg,3.79
jdathebowler30499913042.jpg,3.13
93185434@N0826825105318.jpg,2.64
swaily587302536.jpg,3.46
tcowdrill31274426833.jpg,3.21
thierryvallet26710106606.jpg,3.33
76943426@N0617709122758.jpg,2.87
pjpink24170577560.jpg,1.88
luigiremonti26744560816.jpg,3.16
115517646@N0834264321025.jpg,3.42
87039642@N0031582636005.jpg,3.17
76943426@N0625746779534.jpg,3.38
raznicu201023770148828.jpg,4.0
fbancale29190828705.jpg,3.47
jonncrisp44638290174.jpg,3.85
68166820@N0820827564564.jpg,3.46
marcomagrini3582401480.jpg,3.98
146084805@N0730810026903.jpg,3.23
41066614@N0522460588314.jpg,2.92
knipser3140526284022483.jpg,3.38
138273571@N0723663835364.jpg,3.02
beatakerekes3475819839.jpg,3.2
107500768@N0325511539437.jpg,3.19
homefries7blogspotcom2879579533.jpg,3.25
bazrichardson17421328280.jpg,3.19
47137907@N0625245061348.jpg,3.33
filipmolcan29099126236.jpg,3.5
142218716@N0732505649172.jpg,2.73
joannarb200927921365061.jpg,2.37
sostand4165695281.jpg,3.85
knipser3140517007133347.jpg,3.1
sappho_et_amicae6208646726.jpg,2.74
unyink255579392762.jpg,3.3
14143447@N0639746960980.jpg,2.79
knipser3140516925610789.jpg,3.02
einisson31609839206.jpg,3.09
knipser3140517770745993.jpg,3.62
poboo7374676812.jpg,2.57
napowell16831873179.jpg,2.73
148516022@N0427871116958.jpg,3.8
robert_smrekar30485559250.jpg,3.84
8744268@N0828198834015.jpg,3.36
jozefrutkiewicz21967137140.jpg,3.75
knipser3140527446651113.jpg,3.7
knipser3140527421292593.jpg,4.0
keith_bowden_photos33830694384.jpg,3.45
robert_smrekar36050902833.jpg,3.5
knipser3140526539790824.jpg,4.11
knipser3140520051905832.jpg,4.35
oguzhanceyhanphotography27405566396.jpg,3.94
antiatlas29314269683.jpg,4.59
14017876@N0226261304273.jpg,3.45
wildlifelens32400997240.jpg,4.0
49214499@N0636609363932.jpg,3.16
113652263@N0226651481488.jpg,4.05
88380809@N0727458804069.jpg,3.27
128550277@N0527540529520.jpg,3.94
33083567@N0224192999508.jpg,3.24
silfoglia15790774861.jpg,4.0
mento6537359871732.jpg,3.87
agarwalarun40820242052.jpg,4.52
79003050@N0530903170595.jpg,3.24
fulc0l0rabstract22568165021.jpg,3.23
lizisanchez34160966144.jpg,4.39
chantsign22016927622.jpg,3.38
63847423@N0331674413230.jpg,3.64
knipser3140517082616606.jpg,4.25
129659840@N0825297823584.jpg,3.02
77974574@N0335979559164.jpg,3.12
ppetrassi20798146279.jpg,3.55
130287561@N0618411194765.jpg,3.77
