image,score
sekihan7410214442.jpg,2.61
jason8703029280230492.jpg,2.65
damienwalmsley24991755327.jpg,3.43
joannarb200924723160301.jpg,2.66
nora-meszoly22468579141.jpg,3.15
85793406@N0321566569134.jpg,2.3
joekepieters45547916111.jpg,2.46
justafuckingname5271874584.jpg,2.48
javi_cadiz2137990745392.jpg,3.28
gym_master1016096033289.jpg,2.38
72226765@N002201490183.jpg,2.67
derwisz40926279850.jpg,3.4
42767052@N0841168367282.jpg,2.62
mromero3698003233.jpg,2.71
a-lis-e23188913949.jpg,3.06
matty-hst37387716094.jpg,3.5
100128570@N0725916618574.jpg,2.9
ajtorres4526464330.jpg,4.0
photodepoche6580633375.jpg,3.52
andysancestors5868719076.jpg,3.31
quiquecvflickr25996405713.jpg,3.63
vasilgochev31604271108.jpg,2.45
giannipaoloziliani30376018086.jpg,3.5
zemzem3274569062.jpg,2.81
wildoutdoors0938046186816.jpg,3.12
10059955@N046069499760.jpg,2.97
drq_emylyan42161465442.jpg,3.04
joannarb200924816054525.jpg,2.7
bel200026171395525.jpg,3.48
joekepieters45557274261.jpg,3.1
enricarchivell3173598377.jpg,3.12
134293867@N0328687348078.jpg,3.53
joannarb200923160342306.jpg,3.27
petec2124737458927.jpg,3.12
68449261@N0831601412236.jpg,3.92
agrzegorz15076453822.jpg,3.12
eddie_crutchley32113734998.jpg,3.29
benoitrouchaleau23606987812.jpg,3.75
wernerkrause30018709365.jpg,3.81
himynameispaolo18227420006434.jpg,3.75
fredrik_lindedal46853186191.jpg,4.26
23016207@N0529654789037.jpg,3.62
fotopeterschneider32068275916.jpg,3.56
44292341@N0324586347069.jpg,4.49
131137621@N0641712473862.jpg,3.19
61206119@N0536610508924.jpg,2.87
danielerossiphoto32503601821.jpg,3.71
wintala37431035051.jpg,3.33
mberesin24360843127.jpg,3.54
steve__s22124460126.jpg,4.33
jayztrainz25367192232.jpg,3.19
joannarb200931753063146.jpg,2.96
147119965@N0743725605695.jpg,3.34
markw31467346638.jpg,3.75
arekev43078271072.jpg,3.51
joannarb200923199039301.jpg,3.25
133774833@N0325942301115.jpg,4.42
100087202@N0625832607987.jpg,3.25
sugar_mamas_cakes_and_desserts28980116242.jpg,3.31
9077088@N0214853176389.jpg,3.25
powerfocus39385400031.jpg,3.14
joannarb200924680262842.jpg,3.58
quicog31270600915.jpg,3.71
41890366@N0328146699195.jpg,3.52
miguelcanijo25208723880.jpg,4.33
claigle4422311520250.jpg,3.44
28841566@N0545891577674.jpg,4.19
lotharheller17638994702.jpg,3.69
126240964@N0832727163217.jpg,4.3
nzpix41382447634.jpg,3.65
ulrichneitzel37018433224.jpg,2.71
123637302@N0526642246071.jpg,3.69
eddie_crutchley30332534114.jpg,3.2
24020707reves40602877174.jpg,3.99
ennioxx33045063668.jpg,4.17
carlos-pinho42179458372.jpg,4.39
lorinleecary41399041102.jpg,3.05
bel200020127928140.jpg,3.89
142835563@N0531617378983.jpg,3.27
markolino27746279939.jpg,3.12
rodrigoramo28291241412.jpg,3.79
vr2my26252868405.jpg,3.92
marine_travel22299765610.jpg,3.0
147153897@N0646155220642.jpg,4.1
nls45114642052936.jpg,3.16
151036964@N0242717626404.jpg,4.21
91904845@N0737633903465.jpg,3.42
light-and-colour46122429375.jpg,2.5
wansa1234537605962612.jpg,3.64
kavas45700940105.jpg,3.85
joannarb200923330177325.jpg,3.68
davidrallen29107387498.jpg,3.25
bon_espoir20820705985.jpg,4.21
81852034@N0744851199022.jpg,4.18
kebeard47801827352.jpg,3.4
michael_hamburg26267003118.jpg,3.52
138128908@N0625315886059.jpg,2.84
