image,score
harryshots21388181544.jpg,2.19
justinstenning25481232844.jpg,3.08
nhwoodchuck2162537706.jpg,2.21
ctberney41762840974.jpg,2.33
44506883@N0421193305223.jpg,3.12
72163146@N0832138616850.jpg,3.15
121637638@N0330492087083.jpg,2.49
picturesbywalther38460953875.jpg,2.77
ken_tokyo2076209168.jpg,3.61
ramosdeflores26364996267.jpg,3.38
hayashina42009249090.jpg,2.42
poul_werner40668131055.jpg,3.4
mister-tee30874183351.jpg,3.44
atelier790335346734741.jpg,3.05
curryboy2195947682.jpg,3.49
keith_bowden_photos37345285965.jpg,2.87
69792835@N0741160359801.jpg,3.77
jpfirth2399379998.jpg,3.85
dyker_the_horse6148604968.jpg,3.33
72163146@N0823871422458.jpg,3.45
alan-photos40073432450.jpg,3.18
jelens3566488930.jpg,2
143408826@N0825903342897.jpg,2.58
cloud_9356652779.jpg,4
81852034@N0728655562394.jpg,3.4
47493414@N0647041064791.jpg,3.29
34061443@N0840475154085.jpg,3.21
67183217@N0731139606166.jpg,3.96
a_blond-tess20462951508.jpg,3.88
technodean200043462742982.jpg,3.56
27940925@N0729334062444.jpg,2.74
notkalvin29659278973.jpg,3.02
127850317@N0433892371073.jpg,3.6
47515486@N0517825664183.jpg,3.82
rosi-sch427167809.jpg,4.71
vasilgochev39705710925.jpg,3.98
ola_er34718316355.jpg,3.04
suzanne-gibson24109760835.jpg,3.6
andymcdonald40485585361.jpg,4.16
sue_zamecnik7046601687.jpg,3.62
27922373@N0344726689885.jpg,4.36
chanmelmel26915850110.jpg,3.97
tooloose-letrek29470299550.jpg,4.41
ulliottj22443254043.jpg,3.56
134137971@N0238690428144.jpg,3.5
debbie_yare19412452201.jpg,3.9
markcassino39769927931.jpg,4.38
123031844@N0722439673705.jpg,4.35
julyriver26681654202.jpg,4
tellyazz16856862177.jpg,3.33
53532146@N0623755699724.jpg,4.29
dimmilan5068941450.jpg,4.5
infomastern23641299641.jpg,3.38
karen_pincott29610504558.jpg,4.2
151036964@N0240722601265.jpg,3.58
22897666@N0026330076058.jpg,3.27
131137621@N0625119891987.jpg,2.82
bokis-foto_man23650849818.jpg,3.56
134208278@N0623376647154.jpg,3.88
aparlette34140134016.jpg,3.58
ash_flickr22120324424.jpg,4.39
aarmo22925046002.jpg,3.19
61491636@N0332030061517.jpg,3.09
a-m-s_images33065916308.jpg,3.29
136118026@N0226674745180.jpg,3.92
159291500@N0343477636802.jpg,3.07
larryjay39068607280.jpg,2.92
nigdawphotography29028862387.jpg,3.66
96654411@N0235620653453.jpg,2.92
jonhatanphotography20083955280.jpg,3.08
brian10430767230566.jpg,3.73
