image,score
crayzy_ray433496896.jpg,3.08
anavuckovic129241324.jpg,2.12
jackal123623488069.jpg,2.79
kvaidya5456409556.jpg,2.84
faixal_javaid3908683760.jpg,2.52
kathiemcl_pty2609568050.jpg,2.85
12609867@N086621430799.jpg,2.71
127707647@N0631111577434.jpg,2.21
flapjax_at_midnite4187690824.jpg,2.12
130554388@N0226992374474.jpg,2.75
jasonjoyce6327438980.jpg,2.62
135249869@N0423359703425.jpg,3.08
presbi6041211601.jpg,2.44
138054043@N0329154316356.jpg,3.48
60707297@N00413358670.jpg,2.04
moldura5634555716.jpg,4.86
czd729320372959.jpg,2.35
pcfannet27646580996.jpg,2.36
bluecoco3717538714.jpg,2.38
anicecupoftea97254969.jpg,3.23
9756073@N0816157880537.jpg,2.67
antonio_granada8697421666.jpg,1.99
merynda8544065550.jpg,2.53
rafasphotoart33683410803.jpg,2.18
johnlinwood3494976949.jpg,2.88
mamajulie200830016571676.jpg,2.3
no1bio3810489896.jpg,2.83
61572847@N035602922771.jpg,2.88
artsyt533895727.jpg,2.0
mozo959062306.jpg,2.39
02baphotogal6662815601.jpg,2.0
96313041@N0821245867484.jpg,3.08
debs2129058837596.jpg,3.15
whitesusie529723381.jpg,2.96
noemx22284912280.jpg,2.21
79557183@N087284493804.jpg,2.64
tezzer5710385381823.jpg,2.59
14380889@N025624090156.jpg,2.67
138054043@N0328565616064.jpg,3.42
137548853@N0823282349940.jpg,3.08
rockfeel6222738780.jpg,2.56
jandimin81769411.jpg,2.27
shupe0236889485896.jpg,3.04
23545056@N062779260087.jpg,3.04
666izzy16772120863.jpg,3.31
simns286308387.jpg,2.07
harnisch7024110855.jpg,2.56
royena2428014189.jpg,3.13
8skeinsofdanger718000239.jpg,2.85
cacadepollo22951116119.jpg,2.81
koji_kabuto3592353452.jpg,2.85
its-only-lines4961093820.jpg,1.97
bozina2857567076.jpg,3.1
cvmnrobs3885000885.jpg,3.43
jocranfill24034680621.jpg,2.46
greeneydmantis667403362.jpg,3.06
sandor_banyai7286978244.jpg,3.48
balci_can473844804.jpg,2.9
jackslad3395514835.jpg,2.48
apear12239553956.jpg,2.67
merlym3257796646.jpg,2.9
wongjunhao3639779839.jpg,2.13
melaniedelgado6738765687.jpg,1.97
bertdorazio2216179061.jpg,2.98
stchuck166031656.jpg,2.0
its-only-lines4961093836.jpg,2.88
16415249@N034545403598.jpg,2.71
squeakymarmot25033420060.jpg,3.18
24658705@N0230250904305.jpg,4.01
corinneski9340141642.jpg,2.46
teresa-p5743410292.jpg,4.04
bibi0156348764850.jpg,3.48
lyre2310181034.jpg,3.18
pankseelen6326589969.jpg,3.09
johannahobbs2844340219.jpg,4.62
tresed478007744287.jpg,3.11
gourabbayen28646079064.jpg,3.42
104182223@N0421875016725.jpg,3.0
